iter	Passed	Remaining
0	1	161
1	3	172
2	5	165
3	6	157
4	8	158
5	10	167
6	12	164
7	13	157
8	15	153
9	18	164
10	19	160
11	21	157
12	22	152
13	25	156
14	27	158
15	29	154
16	31	152
17	32	150
18	34	148
19	36	147
20	41	154
21	43	153
22	44	149
23	46	146
24	47	142
25	49	139
26	50	136
27	52	135
28	54	133
29	56	131
30	58	129
31	59	127
32	61	124
33	62	121
34	63	118
35	66	117
36	68	116
37	70	114
38	71	112
39	73	110
40	75	107
41	76	105
42	78	103
43	80	102
44	82	100
45	84	98
46	85	96
47	87	94
48	88	92
49	89	89
50	91	87
51	94	86
52	96	85
53	97	83
54	99	81
55	101	79
56	103	78
57	105	76
58	108	75
59	109	73
60	111	71
61	113	69
62	114	67
63	116	65
64	118	63
65	119	61
66	122	60
67	124	58
68	126	56
69	127	54
70	128	52
71	130	50
72	131	48
73	134	47
74	136	45
75	138	43
76	139	41
77	141	39
78	141	37
79	143	35
80	144	33
81	147	32
82	149	30
83	150	28
84	152	26
85	153	24
86	154	23
87	155	21
88	157	19
89	158	17
90	161	15
91	163	14
92	165	12
93	166	10
94	168	8
95	169	7
96	171	5
97	172	3
98	174	1
99	176	0
